,timestamp,Tweet Id,Text,Username
0,2021-10-24 18:01:32,1452334458066149377,"@Filasophical @ShibaInuHodler Out of curiosity, I acquired some ascii hash strings called “Bitcoin, Ethereum &amp; Doge”. That’s it.

As I’ve said before, don’t bet the farm on crypto! True value is building products &amp; providing services to your fellow human beings, not money in any form.",elonmusk
1,2021-10-24 17:51:57,1452332044743323654,"@itsALLrisky @TeslaGong @mishaboar @DogecoinFdn Possibly. Bitcoin was conceived at a time of relatively low bandwidth &amp; high latency. If both continue to improve substantially, we will reach a point when no second layer is needed.",elonmusk
2,2021-07-28 23:41:27,1420529868404518913,"@heydave7 We don’t have that many Bitcoin, but it’s close",elonmusk
3,2021-07-09 07:15:00,1413396249546563586,"@MattWallace888 BTC &amp; ETH are pursuing a multilayer transaction system, but base layer transaction rate is slow &amp; transaction cost is high.

There is merit imo to Doge maximizing base layer transaction rate &amp; minimizing transaction cost with exchanges acting as the de facto secondary layer.",elonmusk
4,2021-06-25 02:11:52,1408246534093918210,“That’s not funny!” – Bitcoin maxis,elonmusk
5,2021-06-25 02:10:31,1408246196603346947,How many Bitcoin maxis does it take to screw in a lightbulb?,elonmusk
6,2021-06-25 02:03:46,1408244494567456769,@jack Oh right … Bitcoin haha,elonmusk
7,2021-06-13 17:42:54,1404132183254523905,"@Cointelegraph This is inaccurate. Tesla only sold ~10% of holdings to confirm BTC could be liquidated easily without moving market.

When there’s confirmation of reasonable (~50%) clean energy usage by miners with positive future trend, Tesla will resume allowing Bitcoin transactions.",elonmusk
8,2021-06-05 08:21:59,1401091921746006017,@lexfridman @VitalikButerin @ethereum @Bitcoin @dogecoin @ShibainuCoin @IOHK_Charles @Cardano @chainlink @0xPolygon I pretty much agree with Vitalik,elonmusk
9,2021-06-04 01:07:04,1400620080090730501,#Bitcoin 💔 https://t.co/lNnEfMdtJf,elonmusk
10,2021-05-26 18:52:25,1397626694609956864,@BTC_Archive 🤣🤣,elonmusk
11,2021-05-24 19:42:36,1396914548167233537,Spoke with North American Bitcoin miners. They committed to publish current &amp; planned renewable usage &amp; to ask miners WW to do so. Potentially promising.,elonmusk
12,2021-05-20 20:13:36,1395472799020421120,@TeslaGong @wintonARK Bitcoin hashing (aka mining) energy usage is starting to exceed that of medium-sized countries. Almost impossible for small hashers to succeed without those massive economies of scale.,elonmusk
13,2021-05-17 05:56:52,1394170030741413888,"@BTC_Archive To clarify speculation, Tesla has not sold any Bitcoin",elonmusk
14,2021-05-16 18:17:17,1393993975019749382,"@ChainLinkGod @PeterMcCormack Bitcoin is actually highly centralized, with supermajority controlled by handful of big mining (aka hashing) companies.

A single coal mine in Xinjiang flooded, almost killing miners, and Bitcoin hash rate dropped 35%. Sound “decentralized” to you?

https://t.co/Oom8yzGRNQ",elonmusk
15,2021-05-16 18:07:06,1393991411524120576,"@poisonouspinups @michael_saylor He should wear outfit for Halloween, but with “Bitcoin” tattooed high on thighs",elonmusk
16,2021-05-12 22:06:14,1392602041025843203,Tesla &amp; Bitcoin https://t.co/YSswJmVZhP,elonmusk
17,2021-04-26 23:15:01,1386821144037236737,"@stoolpresidente No, you do not. I have not sold any of my Bitcoin. Tesla sold 10% of its holdings essentially to prove liquidity of Bitcoin as an alternative to holding cash on balance sheet.",elonmusk
18,2021-03-24 07:10:43,1374619672973221892,Pay by Bitcoin capability available outside US later this year,elonmusk
19,2021-03-24 07:09:34,1374619379929772034,"Tesla is using only internal &amp; open source software &amp; operates Bitcoin nodes directly.

Bitcoin paid to Tesla will be retained as Bitcoin, not converted to fiat currency.",elonmusk
20,2021-03-24 07:02:40,1374617643446063105,You can now buy a Tesla with Bitcoin,elonmusk
21,2021-03-12 18:58:22,1370449101402353669,"BTC (Bitcoin) is an anagram of
TBC(The Boring Company)
What a coincidence!",elonmusk
22,2021-02-20 07:02:06,1363021091086561285,"@PeterSchiff That said, BTC &amp; ETH do seem high lol",elonmusk
23,2021-02-19 03:11:31,1362600676174557186,"@business To be clear, I am *not* an investor, I am an engineer. I don’t even own any publicly traded stock besides Tesla.

However, when fiat currency has negative real interest, only a fool wouldn’t look elsewhere. 

Bitcoin is almost as bs as fiat money. The key word is “almost”.",elonmusk
24,2021-02-19 03:01:02,1362598034866118658,"@business Tesla’s action is not directly reflective of my opinion. Having some Bitcoin, which is simply a less dumb form of liquidity than cash, is adventurous enough for an S&amp;P500 company.",elonmusk
25,2021-02-08 05:27:36,1358648653573992450,"@itsALLrisky Doge appears to be inflationary, but is not meaningfully so (fixed # of coins per unit time), whereas BTC is arguably deflationary to a fault.

Transaction speed of Doge should ideally be a few orders of magnitude faster.",elonmusk
26,2020-12-20 09:24:37,1340588909974200321,Bitcoin is almost as bs as fiat money,elonmusk
27,2020-12-20 08:21:25,1340573003579617280,Bitcoin is my safe word,elonmusk
28,2020-11-16 22:02:51,1328458535340949505,@Maisie_Williams 🎶 Toss a bitcoin to ur Witcher 🎶,elonmusk
29,2020-05-15 22:03:01,1261416824459030529,"@jk_rowling Pretty much, although massive currency issuance by govt central banks is making Bitcoin Internet 👻 money look solid by comparison",elonmusk
